userID,gameID,prediction
u04763917,g51093074,4.295305666114012
u10668484,g42523222,1.1015167610583925
u82502949,g39422502,5.329436315748038
u14336188,g83517324,2.9482412083753666
u10096161,g10962300,3.3478440832307026
u12864301,g29951417,0.5313300322492971
u74352605,g88258978,0.33944183400585703
u75043948,g25417282,4.321182615384618
u29296791,g59132435,2.804522358585426
u25398433,g78239118,6.126579347527414
u84764376,g73199890,6.0821482650825045
u09616615,g92522857,3.342385358771313
u10691163,g32680601,4.5440728462988265
u38429458,g70782977,3.4167033326834173
u26986311,g06045292,3.7722350519919745
u65289967,g65794132,1.5607679554546074
u87979266,g89122297,3.3471728806392553
u05311714,g82220080,6.8061478176746295
u78011182,g05463839,6.871726519629891
u34020914,g67139666,3.7245059244722754
u62855536,g54634449,2.35356234052876
u55833077,g88735741,2.3952823642682795
u24787553,g63858284,2.6733809292587436
u90805846,g78518895,4.5510992366485965
u83707320,g02273341,7.102083860541022
u20383715,g05349653,4.935313013289937
u29006683,g78139956,2.8991823683316262
u71367785,g24982722,7.537608538789431
u04109297,g92694999,2.634093097250564
u20230969,g71624193,1.7468814719518804
u37438991,g82994209,4.698033650020162
u21174368,g82668863,3.5970705021719307
u03586135,g66197269,1.820079839617578
u15832377,g57834425,6.532756607417349
u60887184,g85840895,2.94227621780366
u10763263,g16087475,2.8116565615743343
u24175693,g52437423,4.09924121402139
u44150437,g59833534,3.570999136091963
u24031173,g35155801,5.130997400145845
u12741451,g16135457,4.348702966915651
u57709154,g46862476,2.6322017396904345
u29258017,g68168423,2.965287490822496
u81408606,g84686560,1.691474838070429
u19089061,g91851682,3.2373242239111093
u73375206,g01392148,1.7517853788001334
u51732970,g09480895,3.550257371548793
u90857197,g57791098,6.295680286709561
u29991534,g74380807,4.33664124578208
u22769746,g29741733,4.147315962271373
u71039405,g68576907,3.8352743825243563
u69685717,g67274965,4.925737951015746
u79638535,g29091141,4.003587155833296
u15856655,g48289742,2.378838172896068
u52155642,g34491894,3.4242224561044448
u08348857,g75348396,2.524772288713087
u76615183,g16903439,3.8199237840863356
u06363461,g00785638,2.8184988427574096
u16745193,g47810653,4.983477380492103
u23967443,g17807252,4.488365733521953
u26638181,g73199890,5.915056177474442
u37208609,g54634449,2.492008705441357
u51641312,g87912242,4.5859265506640305
u39462514,g59027363,3.9145027304402915
u75733314,g49445983,5.870660026774549
u75148448,g60355697,2.271489634476125
u32200747,g70274773,3.758887846236126
u94793879,g88406710,3.135619112740784
u13846553,g45685155,2.924698693556618
u17863042,g61310716,2.8673479924940253
u92300468,g58854798,3.6037227658760154
u26771241,g88161192,2.7951878258464404
u36252269,g17210393,5.158028777132076
u66968893,g32642694,2.444741858891046
u41619073,g69033010,4.6144696387635085
u45751008,g99544321,4.497026074995929
u53708896,g68559005,3.445064838707923
u65902873,g13451594,4.795195330281114
u39310994,g23109078,3.419681217729922
u85987227,g09929422,3.9691446548870477
u21721881,g08493444,4.223588239241258
u85850085,g69033010,4.64424818287017
u61057221,g23131507,3.22454409950358
u76302774,g09670581,4.303204928482969
u12301728,g83093985,2.0839173493050693
u91634610,g11862712,4.245373871919778
u70076452,g66187454,2.1188616392072683
u14595674,g71690287,3.2868440588544257
u70647035,g59132435,2.3562921961484333
u49227907,g75591774,1.9147025024374515
u47732229,g00602342,3.65657132950801
u52520551,g06849398,0.3315349323902339
u95251001,g14806591,4.900811917793048
u84178019,g86430125,1.8189522286911446
u08176900,g65794132,2.492658202255673
u76404562,g54506405,2.895765907664423
u26095980,g95560020,2.864609831896594
u97592278,g11225866,3.518166062322787
u44785008,g57734956,5.074925772693438
u87047715,g47087082,1.1713168197062545
u90350768,g40551467,5.130339759779559
u40158774,g91479688,7.27521084352478
u29320534,g29752784,4.256777593740175
u38690724,g46527418,4.11121194574697
u30465751,g63715049,4.619545839537073
u70160453,g10773791,8.284419273193182
u73988548,g78139956,3.4425176930413195
u95764184,g40266442,2.195796534129567
u48087366,g75730019,2.486047332293801
u35368986,g10946181,4.840635429732931
u04763917,g94497006,1.9436060813839822
u70756776,g05894153,2.328048683111399
u39281280,g68132896,5.254661795150961
u93185343,g62819767,2.004599861768442
u04114967,g15881340,3.1259746179598618
u74748141,g66678119,1.3595064798825767
u15832377,g97767591,3.385909498782098
u72218324,g73792397,3.559823904231677
u01903817,g36338988,3.6645346840780655
u92083302,g41031307,5.220361145898035
u33601253,g68959096,4.7516067829340205
u48940192,g61264440,5.201616092752352
u55350279,g35444269,4.349800783512167
u54965133,g06097413,3.5434302378176046
u80028968,g41896919,3.446668285505434
u77135073,g15881340,5.02924904116565
u23546625,g03156676,2.894470537057609
u07229282,g17604638,8.563098968311255
u49423423,g75348396,2.848560840330277
u04928040,g90538928,2.031355857406826
u03233576,g01873417,4.878700944183712
u01806590,g17361564,3.74062721835823
u01276399,g32819803,2.6790485540652726
u19431743,g50444948,3.272873621544999
u30001051,g65794132,1.6944537274054616
u76404562,g02291184,4.659143787562579
u86748386,g63396588,4.65121907790789
u17031377,g68594066,2.1185954991421916
u60870972,g81608348,5.277947150377836
u48616923,g37782017,5.159912756485653
u75656042,g11862712,4.4909406033864485
u27204408,g29343118,2.905096920801377
u77035669,g59833534,2.4005781391654635
u97895796,g11181397,0.46947195873341885
u41263957,g58564429,1.7148568894843212
u36684316,g77806076,6.918055876746376
u80800629,g53996086,2.86751111433147
u98863380,g68818867,2.8849881892583538
u89526470,g16967024,2.7452596441880672
u67552707,g20944046,2.97982309927448
u08631099,g75046549,1.927074215441287
u19644250,g42862258,4.2446225153122965
u64237842,g15339821,3.074500857206583
u79892305,g36958384,4.663125339231048
u70339605,g16320816,0.9181605263695378
u56683450,g63396588,3.308123574695996
u73988548,g14368997,5.362022612957291
u55730078,g99674775,2.5085111045934623
u32923011,g15881340,4.7365897400929295
u67063622,g19425343,4.27088197954922
u83496814,g79499736,6.093808961483349
u05202684,g71128555,1.4683467785352686
u01997404,g74412462,6.5076310753229025
u06266674,g05463839,7.752754623017152
u04763917,g93034225,1.4331551994852074
u12352667,g18762273,1.716551454480727
u67983089,g35549655,5.9286839706454035
u57355453,g27491100,3.4089814668806553
u93263722,g04615400,3.7505534897972677
u60932748,g51367911,5.646646025508138
u03729616,g70003539,4.142297283445851
u33909345,g16952539,4.3984804887637745
u88837062,g40531835,2.9013854139780944
u60063697,g16087475,3.3497380349483485
u26602381,g61856392,4.61358976492727
u34020914,g36958384,4.1243048252507455
u58981182,g76892743,2.7693459467557915
u83260741,g05349653,3.644877813401834
u12741451,g46446145,5.026178929589259
u11476760,g69372699,2.525667262433562
u58812126,g01540872,3.839434074380153
u83288532,g91616357,3.2867392036102387
u04836696,g71371078,5.517911699789837
u44009694,g11862712,3.910050264567154
u14814897,g68302537,2.937266399089358
u72218324,g61434161,4.425483867709143
u39796895,g59271404,4.105736222415585
u51062008,g15041108,2.728406273169486
u52954416,g04423005,6.621658045555666
u44521634,g26556480,2.715487619040841
u72986401,g06097413,3.9385433352442427
u61150089,g63396588,4.762695148966893
u47890042,g76138491,4.37812584755362
u78552338,g97795987,3.738015056104194
u75519304,g46602286,3.1216799266664332
u97099051,g14368997,4.928666733603223
u28677421,g92017077,3.7364343870251195
u31219469,g31541380,5.322775561055913
u82039751,g03207903,4.817420552803977
u65746127,g87968210,2.4188697647108732
u83172509,g68047320,5.0512349696984655
u71314174,g24283850,3.5579549740587266
u39532419,g26730287,2.617643582211116
u94977887,g65046475,2.728444062623256
u51238798,g78970626,3.7480731945425814
u18043411,g10081212,2.129397780749755
u67632443,g57834425,6.513791461973497
u37216201,g15547870,7.559430616561684
u44594988,g32943027,2.4503641756866283
u63229947,g05510401,3.3475088013868763
u03766095,g14542017,0.45953458225359234
u58385308,g05551150,3.8602720108412116
u32538708,g25723374,2.988513354585119
u33701854,g51234623,2.712807794620346
u73655118,g76361508,4.54089037538718
u08422227,g97435957,2.1996110063603878
u82636912,g23657488,5.466699701407402
u56533038,g03136155,5.802927848755747
u02074953,g24982722,8.513867529758794
u19135199,g49368897,3.9515019785363474
u72139431,g33872505,1.1693351819997877
u67398492,g40110970,4.94052959718533
u93154067,g41577769,8.044367143097551
u04495704,g25834374,2.0342415224393777
u12831192,g45232069,7.6945011164136625
u23791734,g91479688,7.922285359381682
u08543832,g28397260,2.729572067301702
u78248555,g43409822,5.018100212789566
u24002764,g22244120,4.555663499123121
u97756269,g05031080,3.9674903618111403
u34127632,g13451594,4.023121618625143
u24606346,g13121437,4.645780494881412
u71263232,g91851682,3.94656948625008
u31583354,g88348345,3.031365906349731
u63484823,g44130855,0.4579823598272592
u98330996,g11862712,4.433925075653455
u09717896,g16087475,3.807396859852486
u04150783,g74112521,5.276242406022037
u55952495,g83843155,1.7853700314152023
u73063505,g33211163,4.5717432719403766
u19670502,g44582104,3.9793997153981153
u51322914,g32303199,1.1145303720865403
u94573512,g24816539,4.626502819300287
u83357129,g01660600,3.31298762801673
u92729375,g79333823,7.338838135734115
u52496811,g94300691,4.791561523642987
u93072491,g79333823,7.033609141857575
u00914251,g67038900,3.906485899618598
u00631846,g40499587,6.712265606070404
u37555238,g60926645,2.1872946049623314
u65152844,g61557790,3.5412930014934374
u95987184,g27545941,2.5013318127275284
u12982875,g83595955,2.331418587485892
u42467385,g23657488,5.648776660739298
u95368325,g08347342,3.3675479388279657
u41633254,g92782480,5.169853900966647
u46933812,g15714062,7.480329753853528
u95210326,g01086845,1.420035274624331
u21957619,g77859458,7.842510828871092
u95327242,g37422652,5.535705717027751
u23441276,g89122297,1.9129067959010175
u40466912,g11874075,2.521853650939063
u56316691,g71128208,5.510503438668527
u32015397,g07717755,3.9837639949581893
u68905669,g90538928,3.1868161093831855
u34487395,g85605126,3.166954332836543
u74423141,g11075424,3.3496996995192547
u66082707,g11862712,3.8009624581047508
u82332490,g04615400,3.307373801224372
u35871341,g94547789,3.178976763991958
u89383061,g33084376,1.5670348561454064
u44380424,g89200271,5.685106260966508
u50997247,g11347632,4.18834681788299
u02795977,g17155852,6.384871978042771
u14336188,g66197269,1.5365219437933377
u00667894,g78139956,2.303528483594193
u67519558,g39845845,4.453181938726431
u50062649,g59442626,3.709355712616346
u29553373,g85252310,2.8853546741721234
u70666506,g46609035,4.463843769710772
u03047013,g25962198,3.952918778760135
u13370974,g08220648,3.08701366762005
u72478974,g94410811,4.236091077268604
u64072664,g68168423,3.6142572773846107
u96608400,g08257375,2.2150298469995855
u79541988,g46602286,2.6550128166846756
u30258510,g18306019,3.261207158473778
u89478667,g81642335,2.444433067486176
u89239385,g88529278,7.046474225072723
u58279240,g59997114,2.419388584121371
u20899705,g92017077,4.245281346101213
u92184193,g70274773,3.899279903096814
u16136343,g01660600,4.181707072280937
u27320565,g81608348,4.975173328461139
u23069394,g88735741,1.1979855362592033
u11074610,g89809648,4.718230403709464
u11436417,g86256371,2.8697098912039407
u63720594,g40110970,5.4718200857845805
u31332472,g08143802,4.084248489266257
u94069457,g76138491,4.368258819901974
u94085555,g46446145,4.876242475595578
u83600529,g45978626,4.113710383778183
u50866739,g43076769,4.369484332373534
u73127506,g17604638,9.683370714426928
u44636287,g57834425,6.462725367165275
u70853810,g62481736,4.86287974880924
u13547804,g93472160,2.767582446136741
u64656494,g12946119,5.526560690512595
u33109625,g88406710,4.461128000898876
u49423423,g63989484,3.4911641589963263
u91838613,g24777226,3.614846434479885
u52454500,g38436572,4.092070241650855
u08983578,g67274965,4.60766075442469
u62097536,g11225866,1.901039368191429
u04261151,g21050126,3.962971793054237
u84107660,g01435414,4.159106863761452
u81058112,g97931549,4.536018024751418
u80605925,g29741733,4.138500956391044
u50097048,g84397720,0.26653153020335774
u12125660,g11225866,4.343192809240363
u72054992,g39921149,3.861132124191306
u44095087,g19813381,3.9397482028079827
u11108186,g84207332,2.955966192639518
u06072875,g56056078,3.9674450543005686
u49961321,g13343607,1.9776049683202697
u03790099,g40372626,4.26738986650737
u97524202,g68132896,5.891202705808233
u15554224,g65055990,2.720468082578172
u18675490,g05463839,6.306349630166428
u38546471,g65683787,1.5173203358517162
u37098825,g28713033,3.316349380253278
